@relation train

@attribute document string
@attribute class {Negative ,Positive }

@data

"AKP’nin baþörtülü reklam filmindeki diplomanýn sahte çýktýðýný biliyor musun?", Negative
"Havuz kanallarýný ve d tipi kanallarý sildik. Ýi oldu anam ve kayýn validem de anti akp li oldular.", Negative 
"savcýlarý hakimleri deðiþtirip kendi savcýlarýný yerleþtirip     yolsuzluklarý kapatdýnýz ,adalet akp nin einde", Negative
"Akp papaya aþýk yada hafýza sýfýr!Daha dün soykýrýmý kabul eden papayý Expo 'e davet ediyor KendineGelSaadeteGel", Negative 
"Akp nin secim reklamlarina sadece gülünür..ajitasyon bile bitmis adamlarda yazik la", Negative
"AKP'nin kemiklesmis secmeni yuzde  20'yi gecmez. Yuzde  20-25  arasi da ruzgara gore hareket eden/edecek secmeni var.", Negative
"Ümit Özdað AKP Hükümeti söde Ermeni soykýrýmý iddialarýný kabul etmek için zemin hazýrlýyor", Negative 
"AKP NÝN TÜRKÝYE'YE ATTIÐI EN BÜYÜK KAZIKTIR AÇILIM...", Negative 
"AKP oyun plani: kemikleþmiþ %35  seçmeni + sempatizan ek %10 ’u paralel vs propagandasiyla kendinde tutmaya devam etmek", Negative 
"Ve sonunda tarihe geçtik... Vergiyle çalýþan arabayý ürettik!.. Unutmayýn, herkes konuþur, AKP yapar!..", Positive
"Saraya para çokken", Negative
"Emekli için kaynak soran AKP duvara tosladý..!!", Negative 
"Ýlk defa bu seçimde gündemi Akp belirlemiyor. CHP'nin vaatleri,  MHP'nin oyu, Hdp'nin barajý konuþuluyor. Çýldýrmalarý bu…", Negative
"Þu AKP-Cemaat kavgasý sayesinde herkes hakkýnda nasýl da aydýnlanýyoruz...Bilgi çaðý güzel þey. Þunu da (cont)", Positive 
"CHP'nin seçim bildirgesiyle AKP'ninkini karþýlaþtýrýnýz. CHP insan için rakam verirken AKP'nin inþaat ve ihale için rak…", Positive
"AKP 'baþörtüsü' reklamýndaki 'gözü yaþlý' Rabia edebiyat diplomasýyla týp fakültesi bitirmiþ!", Negative
"türkiye'de kýlýçtaroðlu'nu alevi kimliði nedeniyle yuhalatan akp ile düsseldorf'ta turgut öker'i chp mitinginde yuhalata", Negative
"Suriye: Saldýrýlarýn arkasýnda doðrudan AKP var", Negative 
"Okuma arýzalý dediði akpliler aslýnda ki", Positive 
"Ýdrak yollarýnda enfeksiyoýn sorunu da var", Negative  
